,staff_id,first_name,last_name,department_name,location,email_address
0,5,Magdalena,Zieme,HR,Leeds,magdalena.zieme@terrifictotes.com
1,6,Korey,Kreiger,Production,Leeds,korey.kreiger@terrifictotes.com
2,7,Raphael,Rippin,Purchasing,Manchester,raphael.rippin@terrifictotes.com
3,8,Oswaldo,Bergstrom,Communications,Leeds,oswaldo.bergstrom@terrifictotes.com
4,9,Brody,Ratke,Purchasing,Manchester,brody.ratke@terrifictotes.com
5,10,Jazmyn,Kuhn,Purchasing,Manchester,jazmyn.kuhn@terrifictotes.com
6,11,Meda,Cremin,Finance,Manchester,meda.cremin@terrifictotes.com
7,12,Imani,Walker,Finance,Manchester,imani.walker@terrifictotes.com
8,13,Stan,Lehner,Dispatch,Leds,stan.lehner@terrifictotes.com
9,14,Rigoberto,VonRueden,Communications,Leeds,rigoberto.vonrueden@terrifictotes.com
10,15,Tom,Gutkowski,Production,Leeds,tom.gutkowski@terrifictotes.com
11,16,Jett,Parisian,Facilities,Manchester,jett.parisian@terrifictotes.com
12,17,Irving,OKeefe,Production,Leeds,irving.okeefe@terrifictotes.com
13,18,Tomasa,Moore,HR,Leeds,tomasa.moore@terrifictotes.com
14,19,Pierre,Sauer,Purchasing,Manchester,pierre.sauer@terrifictotes.com
15,1,Jeremie,Franey,Purchasing,Manchester,jeremie.franey@terrifictotes.com
16,20,Flavio,Kulas,Production,Leeds,flavio.kulas@terrifictotes.com
17,2,Deron,Beier,Facilities,Manchester,deron.beier@terrifictotes.com
18,3,Jeanette,Erdman,Facilities,Manchester,jeanette.erdman@terrifictotes.com
19,4,Ana,Glover,Production,Leeds,ana.glover@terrifictotes.com
